feature,obs_freq,null_mean,null_std,rel_risk,z_score,p_montecarlo,p_value,p_fdr,n_events,k_controls,direction
angular|Uranus|DSC,0.03405865657521287,0.04419583727530751,0.005756990768481017,0.7706304184951296,-1.7608471348598906,0.07960199004975124,0.07826427959311336,0.8996515266366957,1057,200,déficit
aspect|Sun|Jupiter|square,0.06244087038789026,0.077270577105014,0.007360064057868548,0.8080808080808101,-2.01488826734728,0.04975124378109453,0.04391635760614247,0.8996515266366957,1057,200,déficit
house|Saturn|10,0.09933774834437085,0.08493850520340576,0.008556114432292605,1.1695255067943877,1.6829184853605126,0.11940298507462686,0.0923908725606684,0.8996515266366957,1057,200,exceso
house|Neptune|10,0.09839167455061495,0.0830794701986754,0.008899290849587686,1.1843079200592168,1.720609496952107,0.09950248756218906,0.0853217089686877,0.8996515266366957,1057,200,exceso
house|Pluto|8,0.09933774834437085,0.08381740775780498,0.008367384144550113,1.185168463231561,1.8548617248169081,0.10945273631840796,0.06361597493182344,0.8996515266366957,1057,200,exceso
aspect|Sun|Saturn|opposition,0.05392620624408704,0.04484389782403032,0.005376118527950024,1.2025316455696191,1.6893802420535382,0.10945273631840796,0.0911465848698848,0.8996515266366957,1057,200,exceso
house|Pluto|11,0.09555345316934721,0.08228476821192043,0.008296310350327685,1.1612532336878427,1.5993477096601982,0.1791044776119403,0.10974336410484298,0.8996515266366957,1057,200,exceso
house|Neptune|7,0.07000946073793755,0.08453169347209073,0.007599281463812788,0.8282036933407955,-1.911000770705358,0.04975124378109453,0.056004481852458265,0.8996515266366957,1057,200,déficit
house|Neptune|6,0.09366130558183539,0.08022232734153244,0.008149644346136737,1.1675216699097855,1.6490263463673198,0.12935323383084577,0.09914223731511564,0.8996515266366957,1057,200,exceso
house|Neptune|5,0.06811731315042574,0.0810075685903499,0.007672725030889131,0.8408759124087608,-1.6800100861206553,0.08955223880597014,0.09295535334265399,0.8996515266366957,1057,200,déficit
aspect|Mercury|Saturn|conjunction,0.0586565752128666,0.04830179754020819,0.00543949332392751,1.2143766526295157,1.9036290801404805,0.06965174129353234,0.05695850873634005,0.8996515266366957,1057,200,exceso
aspect|Venus|Jupiter|conjunction,0.06433301797540208,0.05287606433301808,0.00609800361495712,1.2166756128108762,1.8788040096077523,0.07960199004975124,0.06027125936910771,0.8996515266366957,1057,200,exceso
aspect|Mercury|Neptune|opposition,0.04541154210028382,0.03728003784295167,0.005098820455834182,1.2181195279786856,1.5947814455847154,0.12935323383084577,0.11076111760100023,0.8996515266366957,1057,200,exceso
aspect|Mercury|Pluto|square,0.08514664143803216,0.07195837275307461,0.0066814366989861335,1.183276360767817,1.97386719041412,0.05970149253731343,0.04839684631857447,0.8996515266366957,1057,200,exceso
aspect|Venus|Uranus|sextile,0.07852412488174078,0.06606906338694413,0.007128377761112478,1.1885157872127168,1.7472504842185685,0.12935323383084577,0.08059389808431508,0.8996515266366957,1057,200,exceso
aspect|Saturn|Uranus|trine,0.06244087038789026,0.06700094607379366,0.0024398533797899582,0.9319401299068074,-1.8689957862533393,0.08955223880597014,0.061623400626143195,0.8996515266366957,1057,200,déficit
aspect|Moon|Uranus|square,0.08987701040681173,0.07646168401135271,0.007431717111749908,1.175451620885922,1.8051449205794892,0.07960199004975124,0.07105200730009152,0.8996515266366957,1057,200,exceso
aspect|Moon|Saturn|sextile,0.052980132450331126,0.06685430463576152,0.008207926026191643,0.7924715205547309,-1.6903383560180307,0.14925373134328357,0.09096324104312242,0.8996515266366957,1057,200,déficit
house|Uranus|8,0.06811731315042574,0.0830085146641437,0.00809867869509287,0.8206063369044916,-1.8387198794219113,0.07960199004975124,0.06595639792148952,0.8996515266366957,1057,200,déficit
house|Neptune|1,0.09649952696310313,0.08326868495742655,0.008289823812572155,1.158893370448221,1.596034162464465,0.13930348258706468,0.11048116629153448,0.8996515266366957,1057,200,exceso
house|Venus|5,0.06622516556291391,0.08253547776726576,0.008461005715567701,0.8023842274186163,-1.9277037213604444,0.06965174129353234,0.05389198896485747,0.8996515266366957,1057,200,déficit
aspect|Moon|Mars|conjunction,0.03405865657521287,0.04433774834437086,0.006040859208757103,0.7681638749599915,-1.7015943285446804,0.09950248756218906,0.08883144142468888,0.8996515266366957,1057,200,déficit
aspect|Saturn|Uranus|square,0.08893093661305582,0.09391674550614969,0.00307728589731137,0.9469124609650427,-1.6201968421101143,0.1791044776119403,0.10518999957299409,0.8996515266366957,1057,200,déficit
house|Sun|9,0.10028382213812677,0.08420529801324497,0.00873525007274582,1.1909443289702835,1.840648406282856,0.08955223880597014,0.0656730992124105,0.8996515266366957,1057,200,exceso
house|Sun|12,0.07095553453169347,0.08482497634815504,0.008400828619531727,0.8364934195851004,-1.650961166403925,0.14925373134328357,0.09874650468182301,0.8996515266366957,1057,200,déficit
house|Sun|2,0.09649952696310313,0.08256385998107837,0.008594167799331313,1.1687865245788953,1.621526052017398,0.10945273631840796,0.10490486739879627,0.8996515266366957,1057,200,exceso
aspect|Mercury|Uranus|trine,0.10028382213812677,0.08572374645222322,0.008067267115795354,1.1698488025604246,1.8048337159179422,0.07960199004975124,0.07110070667568064,0.8996515266366957,1057,200,exceso
house|Mars|8,0.06906338694418164,0.0830510879848627,0.00883629630076699,0.8315771487156132,-1.5829823451559597,0.10945273631840796,0.11342548843731652,0.9028668879610394,1057,200,déficit
aspect|Sun|Mars|trine,0.04068117313150426,0.04859035004730378,0.005181894298256886,0.8372274143302165,-1.526309967082898,0.1691542288557214,0.12693268759071913,0.9504644240061049,1057,200,déficit
lunar_phase|cuarto_menguante,0.14191106906338694,0.12649006622516554,0.010157252498586641,1.1219147344801796,1.5182258037168217,0.1691542288557214,0.1289574846641449,0.9504644240061049,1057,200,exceso
house|Pluto|5,0.0728476821192053,0.08342005676442749,0.006955711097371951,0.8732633966543819,-1.5199559753447365,0.13930348258706468,0.12852204069271364,0.9504644240061049,1057,200,déficit
house|Jupiter|8,0.09649952696310313,0.08391201513718057,0.00821664521268572,1.150008455944531,1.531952700901414,0.13930348258706468,0.1255341071208319,0.9504644240061049,1057,200,exceso
aspect|Sun|Moon|conjunction,0.03405865657521287,0.04342478713339641,0.006307713250281534,0.7843137254901961,-1.4848694267713423,0.1890547263681592,0.1375784162749663,0.9612302595028812,1057,200,déficit
house|Uranus|2,0.0946073793755913,0.08200567644276241,0.008540645495615198,1.1536686663590234,1.475497717274257,0.1890547263681592,0.14007878153559575,0.9612302595028812,1057,200,exceso
aspect|Venus|Mars|conjunction,0.07379375591296121,0.08344843897824016,0.006503820152627416,0.8843036109064127,-1.4844634136106367,0.12935323383084577,0.13768602234301186,0.9612302595028812,1057,200,déficit
aspect|Jupiter|Saturn|sextile,0.07757805108798486,0.07320719016083235,0.00292263565498987,1.0597053502196978,1.49552029165526,0.19900497512437812,0.13477870818964718,0.9612302595028812,1057,200,exceso
