feature,obs_freq,null_mean,null_std,rel_risk,z_score,p_montecarlo,p_value,p_fdr,n_events,k_controls,direction
aspect|Sun|Venus|trine,0.0,0.0,0.0,,,1.0,1.0,1.0,1384,200,exceso
aspect|Sun|Venus|square,0.0,0.0,0.0,,,1.0,1.0,1.0,1384,200,exceso
aspect|Sun|Venus|sextile,0.0,0.0,0.0,,,1.0,1.0,1.0,1384,200,exceso
aspect|Sun|Venus|conjunction,0.1329479768786127,0.12905346820809258,0.006004207697650697,1.0301774816639597,0.6486299053318823,0.48756218905472637,0.5165776209434222,1.0,1384,200,exceso
aspect|Sun|Mercury|opposition,0.0,0.0,0.0,,,1.0,1.0,1.0,1384,200,exceso
aspect|Sun|Mercury|trine,0.0,0.0,0.0,,,1.0,1.0,1.0,1384,200,exceso
aspect|Sun|Mercury|square,0.0,0.0,0.0,,,1.0,1.0,1.0,1384,200,exceso
aspect|Sun|Mercury|sextile,0.0,0.0,0.0,,,1.0,1.0,1.0,1384,200,exceso
angular|Uranus|MC,0.044797687861271675,0.043822254335260144,0.0060159759919977155,1.0222588623248139,0.16214052837129425,0.8159203980099502,0.8711951914105502,1.0,1384,200,exceso
aspect|Mercury|Jupiter|trine,0.07225433526011561,0.07990606936416186,0.00624258747295029,0.9042408897730354,-1.225731179130757,0.25870646766169153,0.220299852963306,1.0,1384,200,déficit
aspect|Mercury|Jupiter|square,0.07586705202312138,0.07641979768786124,0.006649094678554601,0.9927669834066094,-0.08313096616335311,0.9950248756218906,0.9337474036185894,1.0,1384,200,déficit
aspect|Mercury|Jupiter|sextile,0.08236994219653179,0.07712066473988442,0.006122624231023736,1.068065770365859,0.8573574432428727,0.46766169154228854,0.3912473710002608,1.0,1384,200,exceso
aspect|Mercury|Jupiter|conjunction,0.03757225433526012,0.042341040462427794,0.00436300799388846,0.8873720136518761,-1.093004214947031,0.2885572139303483,0.2743919491316206,1.0,1384,200,déficit
aspect|Mercury|Mars|opposition,0.011560693641618497,0.009996387283236999,0.002387936031996865,1.1564871702204549,0.6550872123125413,0.5572139303482587,0.5124116048215777,1.0,1384,200,exceso
aspect|Mercury|Mars|trine,0.04841040462427745,0.05104046242774568,0.004631941321183065,0.9484711211778026,-0.5678089641248893,0.5970149253731343,0.5701646923291458,1.0,1384,200,déficit
aspect|Mercury|Mars|sextile,0.08020231213872832,0.0867630057803468,0.00657505074374779,0.924383744170553,-0.9978164271746565,0.3582089552238806,0.3183683829732377,1.0,1384,200,déficit
aspect|Mercury|Mars|conjunction,0.07586705202312138,0.0746893063583815,0.005896417742939503,1.0157685982393343,0.19973918336266797,0.835820895522388,0.8416845673207264,1.0,1384,200,exceso
aspect|Mercury|Venus|opposition,0.0,0.0,0.0,,,1.0,1.0,1.0,1384,200,exceso
aspect|Mercury|Venus|trine,0.0,0.0,0.0,,,1.0,1.0,1.0,1384,200,exceso
aspect|Mercury|Venus|square,0.0,0.0,0.0,,,1.0,1.0,1.0,1384,200,exceso
aspect|Mercury|Venus|conjunction,0.14378612716763006,0.1403432080924856,0.007162335778458141,1.0245321389039048,0.48069780329199124,0.7064676616915423,0.6307312926230644,1.0,1384,200,exceso
aspect|Moon|Pluto|opposition,0.04263005780346821,0.04380780346820811,0.0051512444224112545,0.9731156193303641,-0.2286332327031397,0.9154228855721394,0.8191539926634948,1.0,1384,200,déficit
aspect|Mercury|Pluto|conjunction,0.04407514450867052,0.04566835260115607,0.004684463190037031,0.9651135195000394,-0.34010473086308063,0.7661691542288557,0.7337776592084131,1.0,1384,200,déficit
aspect|Mercury|Neptune|opposition,0.049132947976878616,0.04546242774566476,0.00454060036177408,1.0807374443738076,0.8083777339478805,0.5074626865671642,0.41887316580294437,1.0,1384,200,exceso
aspect|Mercury|Neptune|trine,0.0953757225433526,0.09276011560693644,0.006134645401798271,1.0281975385574074,0.42636644257375284,0.7064676616915423,0.6698408498179826,1.0,1384,200,exceso
aspect|Mercury|Neptune|square,0.07514450867052024,0.07908598265895952,0.006410369957385851,0.9501621671006352,-0.6148590509816102,0.5970149253731343,0.5386478077235628,1.0,1384,200,déficit
aspect|Mercury|Neptune|sextile,0.059248554913294796,0.062138728323699405,0.005684698966545674,0.9534883720930235,-0.5084127457607192,0.6666666666666666,0.6111639160715048,1.0,1384,200,déficit
aspect|Mercury|Neptune|conjunction,0.05346820809248555,0.04831647398843934,0.005141048592241399,1.1066247943771488,1.0020784693264588,0.3283582089552239,0.31630569572647,1.0,1384,200,exceso
aspect|Mercury|Uranus|trine,0.078757225433526,0.08225433526011562,0.006530241695035832,0.9574841883345043,-0.5355253281433752,0.6965174129353234,0.5922866481918673,1.0,1384,200,déficit
aspect|Mercury|Uranus|square,0.07369942196531792,0.07475072254335256,0.0064819982675830825,0.9859359141655798,-0.16218772894344408,0.9552238805970149,0.8711580227458592,1.0,1384,200,déficit
aspect|Mercury|Uranus|conjunction,0.04841040462427745,0.04775650289017344,0.004734210140526697,1.0136924124366435,0.13812266770888698,0.9353233830845771,0.8901434712368274,1.0,1384,200,exceso
aspect|Mercury|Saturn|opposition,0.036127167630057806,0.03802023121387284,0.004597558750538863,0.9502090459901178,-0.41175408222747617,0.7860696517412935,0.6805196803936725,1.0,1384,200,déficit
aspect|Mercury|Saturn|trine,0.0838150289017341,0.07950144508670519,0.0062584193144068715,1.0542579296555488,0.6892449352345331,0.527363184079602,0.49066914354831737,1.0,1384,200,exceso
aspect|Mercury|Saturn|square,0.07297687861271676,0.07131141618497108,0.006039672922270908,1.0233547798774003,0.2757537451414616,0.6666666666666666,0.7827372126921873,1.0,1384,200,exceso
aspect|Mercury|Saturn|sextile,0.07514450867052024,0.0678143063583815,0.005904904135811116,1.1080922699909437,1.2413753286329754,0.23880597014925373,0.21446712875684287,1.0,1384,200,exceso
aspect|Mercury|Saturn|conjunction,0.05563583815028902,0.05634031791907516,0.005371208558764892,0.9874959923052258,-0.13115852067158137,0.9552238805970149,0.8956499081401749,1.0,1384,200,déficit
aspect|Venus|Saturn|sextile,0.06719653179190752,0.06659320809248553,0.0059086260731861006,1.009059838333424,0.1021089661029526,0.9253731343283582,0.9186701842943639,1.0,1384,200,exceso
aspect|Venus|Saturn|conjunction,0.06358381502890173,0.05790101156069363,0.005141746376065759,1.0981468771448182,1.1052282731526581,0.27860696517412936,0.2690606887597334,1.0,1384,200,exceso
aspect|Venus|Jupiter|opposition,0.03829479768786127,0.03774927745664744,0.00473526290816795,1.014451143650109,0.11520378948185848,0.9651741293532339,0.9082835951056707,1.0,1384,200,exceso
