feature,obs_freq,null_mean,null_std,rel_risk,z_score,p_montecarlo,p_value,p_fdr,n_events,k_controls,direction
angular|Jupiter|DSC,0.06070889894419306,0.044193061840120604,0.004058570426444654,1.3737201365187732,4.069373047331961,0.009950248756218905,4.713981733274113e-05,0.01876164729843097,2652,200,exceso
house|Pluto|3,0.09992458521870287,0.08377639517345398,0.0051728624045406174,1.1927534601102738,3.121712657787764,0.009950248756218905,0.0017980233691004366,0.23853776696732457,2652,200,exceso
aspect|Mercury|Pluto|opposition,0.049019607843137254,0.039149698340874714,0.003077891315132654,1.2521069106669909,3.2067115085371873,0.01990049751243781,0.0013426156556371545,0.23853776696732457,2652,200,exceso
house|Neptune|5,0.09992458521870287,0.08374811463046761,0.00546536599306612,1.193156235929761,2.9598146965378467,0.009950248756218905,0.0030782413340506598,0.2859720817378743,2652,200,exceso
house|Sun|3,0.06825037707390648,0.08307692307692309,0.00509174467274187,0.8215323166303556,-2.911879317592062,0.009950248756218905,0.0035926140921843505,0.2859720817378743,2652,200,déficit
aspect|Mercury|Uranus|conjunction,0.05542986425339366,0.04508861236802408,0.003721615008765475,1.2293539619485694,2.7787000699999758,0.029850746268656716,0.005457689224948113,0.3021314445241987,2652,200,exceso
aspect|Venus|Pluto|conjunction,0.03469079939668175,0.04393288084464547,0.0033641647545016805,0.789631791262554,-2.747214278253358,0.009950248756218905,0.006010385233105759,0.3021314445241987,2652,200,déficit
house|Mercury|6,0.09766214177978884,0.08291855203619906,0.00543902546341871,1.1778080945884497,2.710704305900172,0.009950248756218905,0.00671404713506299,0.3021314445241987,2652,200,exceso
aspect|Mercury|Pluto|conjunction,0.038838612368024134,0.047511312217194526,0.003206270480900918,0.8174603174603182,-2.704918346980347,0.009950248756218905,0.006832118092255749,0.3021314445241987,2652,200,déficit
aspect|Moon|Venus|sextile,0.0784313725490196,0.0665610859728507,0.00467431649142785,1.1783367323815994,2.539470016191165,0.01990049751243781,0.011102056117373416,0.4418618334714619,2652,200,exceso
aspect|Sun|Uranus|opposition,0.032805429864253395,0.04037141779788829,0.003044430097048697,0.8125904824172252,-2.485190230174588,0.009950248756218905,0.012948222226300243,0.4558524025267221,2652,200,déficit
house|Mars|6,0.09577677224736049,0.08286199095022626,0.005241648323199897,1.1558589306029579,2.4638778683362865,0.029850746268656716,0.013744293543519259,0.4558524025267221,2652,200,exceso
house|Uranus|10,0.0942684766214178,0.08118966817496232,0.005381522331520213,1.1610895664491556,2.4303176017409336,0.029850746268656716,0.015085597012611373,0.46185135469379435,2652,200,exceso
aspect|Mars|Uranus|conjunction,0.030542986425339366,0.037590497737556475,0.002980944690413641,0.8125188083057496,-2.3641872104776236,0.01990049751243781,0.018069678866896786,0.4794488126016614,2652,200,déficit
aspect|Mercury|Neptune|opposition,0.030165912518853696,0.03760935143288076,0.0031298698016074024,0.8020854220974553,-2.378194425277482,0.029850746268656716,0.017397649992349055,0.4794488126016614,2652,200,déficit
house|Uranus|7,0.09653092006033183,0.08447775263951733,0.005221657971653753,1.1426785993259985,2.308302743352057,0.009950248756218905,0.020982303970780932,0.5219348112731756,2652,200,exceso
house|Venus|9,0.07164404223227752,0.0831749622926094,0.005102342170814653,0.8613654909783293,-2.259926848161738,0.03980099502487562,0.023825791298174123,0.5578038198043118,2652,200,déficit
aspect|Mercury|Uranus|sextile,0.05656108597285068,0.06464366515837104,0.0038889395014243544,0.8749671887304226,-2.0783504558402246,0.07960199004975124,0.037677092397868504,0.6248117822646527,2652,200,déficit
angular|Pluto|ASC,0.03770739064856712,0.046602564102564054,0.004236894194489798,0.8091269520187726,-2.0994561217897214,0.029850746268656716,0.035776711894658315,0.6248117822646527,2652,200,déficit
aspect|Moon|Mars|trine,0.07616892911010557,0.08827865761689288,0.005644054336072718,0.8628238258975293,-2.1455726301907956,0.03980099502487562,0.03190709102635566,0.6248117822646527,2652,200,déficit
aspect|Sun|Jupiter|conjunction,0.043740573152337855,0.051958898944193005,0.003749132313156868,0.8418302550890825,-2.192060750434039,0.05970149253731343,0.028375120340502467,0.6248117822646527,2652,200,déficit
aspect|Sun|Mars|trine,0.042986425339366516,0.05075037707390645,0.003657662798631339,0.8470168660375963,-2.122653771540976,0.029850746268656716,0.03378287549309569,0.6248117822646527,2652,200,déficit
angular|Moon|ASC,0.05279034690799397,0.04453054298642528,0.003955795645505004,1.1854862610610117,2.088025940104958,0.05970149253731343,0.03679549480337617,0.6248117822646527,2652,200,exceso
angular|Venus|DSC,0.05279034690799397,0.04410822021116131,0.004035874017804119,1.1968369309681577,2.1512382840821482,0.05970149253731343,0.03145739670214038,0.6248117822646527,2652,200,exceso
aspect|Mercury|Jupiter|conjunction,0.057692307692307696,0.050827677224736044,0.0034348486594855477,1.1350569383137359,1.9985248690985404,0.06965174129353234,0.04565978652580636,0.6490212513311047,2652,200,exceso
aspect|Saturn|Uranus|trine,0.07202111613876319,0.07465686274509804,0.0013073103939185294,0.9646951866255871,-2.016159757159484,0.06965174129353234,0.04378327302106996,0.6490212513311047,2652,200,déficit
aspect|Venus|Mars|sextile,0.09653092006033183,0.0879317496229261,0.004287937881922471,1.0977936919745277,2.005432605182783,0.06965174129353234,0.0449168189309334,0.6490212513311047,2652,200,exceso
aspect|Moon|Venus|trine,0.09992458521870287,0.08919494720965314,0.0053158285135694846,1.1202942357690922,2.018431930537385,0.06965174129353234,0.043546296721464574,0.6490212513311047,2652,200,exceso
aspect|Venus|Uranus|conjunction,0.053167420814479636,0.04617081447963793,0.0035637692171915465,1.1515374249663133,1.9632602192897974,0.06965174129353234,0.04961594528532461,0.680936076674455,2652,200,exceso
tidal|neap,0.5199849170437406,0.5056089743589743,0.009034360089332498,1.0284329262608372,1.591251903025313,0.09950248756218906,0.11155289630464481,0.7821179760610804,2652,200,exceso
lunar_phase|menguante_menor,0.11199095022624435,0.12340874811463054,0.006397499219928141,0.907479833781471,-1.7847282970851914,0.06965174129353234,0.07430539872033105,0.7821179760610804,2652,200,déficit
house|Uranus|6,0.0969079939668175,0.08668363499245854,0.005725623575851031,1.1179502794875698,1.7857197279755253,0.10945273631840796,0.07414464948714737,0.7821179760610804,2652,200,exceso
aspect|Saturn|Uranus|sextile,0.09087481146304675,0.0937009803921569,0.001563193273629581,0.9698384273325416,-1.8079459378353475,0.07960199004975124,0.07061491511212642,0.7821179760610804,2652,200,déficit
house|Sun|4,0.09276018099547512,0.08410256410256413,0.005369727870480373,1.1029411764705879,1.6123008654694604,0.12935323383084577,0.10689648508710724,0.7821179760610804,2652,200,exceso
aspect|Uranus|Pluto|sextile,0.1557315233785822,0.15309200603318251,0.0015489603038180944,1.0172413793103448,1.704057449951065,0.11940298507462686,0.08837035485505314,0.7821179760610804,2652,200,exceso
aspect|Jupiter|Uranus|conjunction,0.049396681749622924,0.051973981900452465,0.0015218667879656972,0.9504117241629488,-1.693512317378749,0.15920398009950248,0.09035799232127922,0.7821179760610804,2652,200,déficit
aspect|Mercury|Uranus|trine,0.09577677224736049,0.08833333333333332,0.004540372832469991,1.084265346196534,1.63938936044992,0.1691542288557214,0.10113219604922764,0.7821179760610804,2652,200,exceso
aspect|Jupiter|Neptune|square,0.06825037707390648,0.07285067873303172,0.002494646536019452,0.9368530020703927,-1.84406952756748,0.09950248756218906,0.06517300816793684,0.7821179760610804,2652,200,déficit
aspect|Saturn|Pluto|conjunction,0.06975867269984917,0.06792797888386129,0.0010620936522503309,1.0269505120874842,1.7236651514761112,0.12935323383084577,0.0847683095450493,0.7821179760610804,2652,200,exceso
aspect|Mercury|Saturn|square,0.06447963800904978,0.07179110105580698,0.0043960654434366305,0.8981564157781392,-1.6631833945223191,0.11940298507462686,0.09627573055386057,0.7821179760610804,2652,200,déficit
aspect|Mercury|Venus|sextile,0.12368024132730016,0.11570889894419308,0.004699786238825406,1.0688913511047382,1.6961074351116272,0.10945273631840796,0.08986553584771852,0.7821179760610804,2652,200,exceso
aspect|Venus|Neptune|conjunction,0.05542986425339366,0.04908182503770732,0.0036196839890935864,1.1293358429685416,1.7537550887904916,0.03980099502487562,0.07947248159877071,0.7821179760610804,2652,200,exceso
aspect|Jupiter|Pluto|square,0.07164404223227752,0.067737556561086,0.0021105037474540697,1.0576708973502555,1.8509731034138028,0.06965174129353234,0.06417342263190401,0.7821179760610804,2652,200,exceso
aspect|Jupiter|Pluto|sextile,0.05618401206636501,0.05233220211161385,0.0024237186664352013,1.0736030550852043,1.5892149563779154,0.15920398009950248,0.11201187094342106,0.7821179760610804,2652,200,exceso
aspect|Venus|Neptune|sextile,0.058446455505279035,0.06577488687782805,0.0043093595583446635,0.8885831398515207,-1.7005848022957861,0.11940298507462686,0.08902097995163302,0.7821179760610804,2652,200,déficit
aspect|Mercury|Uranus|square,0.06711915535444947,0.07620098039215689,0.005000418862959744,0.8808174777939972,-1.816212858682782,0.06965174129353234,0.06933772634224473,0.7821179760610804,2652,200,déficit
aspect|Mercury|Saturn|conjunction,0.053167420814479636,0.046949472096530845,0.003676523303382238,1.1324391615131333,1.6912578011483173,0.09950248756218906,0.09078757582560734,0.7821179760610804,2652,200,exceso
aspect|Mercury|Jupiter|trine,0.0746606334841629,0.08198906485671192,0.004486444179787994,0.9106169659898359,-1.6334609501138009,0.06965174129353234,0.10237208716468907,0.7821179760610804,2652,200,déficit
lunar_phase|menguante_mayor,0.13650075414781296,0.1264555052790347,0.006121130165428028,1.079437022900763,1.64107748035053,0.14925373134328357,0.1007813327400167,0.7821179760610804,2652,200,exceso
tidal|spring,0.48001508295625944,0.4943910256410256,0.009034360089332496,0.9709219182000192,-1.591251903025301,0.09950248756218906,0.11155289630464758,0.7821179760610804,2652,200,déficit
aspect|Sun|Uranus|conjunction,0.0418552036199095,0.048216440422322704,0.0039059396400223474,0.8680691327129127,-1.6286060176743564,0.10945273631840796,0.10339644954505559,0.7821179760610804,2652,200,déficit
house|Saturn|7,0.07503770739064856,0.08309954751131228,0.004665840598458945,0.9029857518831103,-1.7278430221826304,0.09950248756218906,0.08401637182807992,0.7821179760610804,2652,200,déficit
house|Venus|7,0.09087481146304675,0.08241515837104074,0.005099431105153207,1.1026468098734927,1.6589405597532532,0.12935323383084577,0.09712777051059927,0.7821179760610804,2652,200,exceso
aspect|Moon|Uranus|trine,0.07956259426847662,0.08876131221719459,0.005736185976546606,0.896365683213322,-1.603629656766453,0.11940298507462686,0.10879570962977736,0.7821179760610804,2652,200,déficit
aspect|Moon|Pluto|conjunction,0.03695324283559578,0.04386312217194562,0.003920113973981557,0.8424672254459504,-1.7626730707861693,0.09950248756218906,0.07795564513889756,0.7821179760610804,2652,200,déficit
house|Saturn|4,0.09238310708898945,0.08432880844645554,0.004967196161686293,1.09551064210338,1.6214980001513735,0.10945273631840796,0.10491087853135635,0.7821179760610804,2652,200,exceso
house|Pluto|1,0.07654600301659126,0.08716440422322773,0.005687719735072763,0.8781796158504934,-1.8668995135535857,0.05970149253731343,0.06191562182141808,0.7821179760610804,2652,200,déficit
angular|Saturn|DSC,0.03808446455505279,0.04438159879336343,0.004006121839663796,0.8581138487680556,-1.5718778635147845,0.11940298507462686,0.11597887924711636,0.7958550679371088,2652,200,déficit
house|Uranus|8,0.07541478129713423,0.08326357466063346,0.0052415566530184645,0.9057355705001927,-1.4974164896184656,0.15920398009950248,0.13428492027654887,0.8097787616676735,2652,200,déficit
house|Venus|6,0.09125188536953242,0.08282993966817497,0.005512782887990273,1.1016775544579245,1.5277122049745264,0.11940298507462686,0.12658400847452245,0.8097787616676735,2652,200,exceso
aspect|Sun|Saturn|sextile,0.07202111613876319,0.06545437405731525,0.004356635386069993,1.1003254889535383,1.5072966864394022,0.1791044776119403,0.13173462656307677,0.8097787616676735,2652,200,exceso
lunar_phase|creciente_menor,0.13650075414781296,0.12708898944193064,0.006162405452404159,1.0740564918110607,1.527287481905377,0.14925373134328357,0.12668954088626685,0.8097787616676735,2652,200,exceso
aspect|Sun|Neptune|opposition,0.04675716440422323,0.04178921568627443,0.003224810372610768,1.118881118881121,1.5405397973607997,0.11940298507462686,0.12342882975894251,0.8097787616676735,2652,200,exceso
angular|Sun|ASC,0.03808446455505279,0.044374057315233716,0.004093586374127425,0.8582596872875607,-1.5364504826215124,0.11940298507462686,0.12442793352334111,0.8097787616676735,2652,200,déficit
aspect|Mercury|Pluto|square,0.083710407239819,0.07670248868778287,0.004636610428798644,1.09136494358823,1.5114313914554804,0.1691542288557214,0.1306785764450427,0.8097787616676735,2652,200,exceso
aspect|Mars|Jupiter|trine,0.08069381598793364,0.0746210407239819,0.0040367520222636824,1.0813815407160363,1.5043716409774208,0.1691542288557214,0.13248570203130547,0.8097787616676735,2652,200,exceso
house|Sun|6,0.09200603318250378,0.08329562594268478,0.005848937934772449,1.104572204617474,1.4892288714562805,0.1691542288557214,0.136427110558375,0.8104177612273619,2652,200,exceso
house|Jupiter|7,0.09125188536953242,0.0830392156862745,0.0056582127456923075,1.098901098901099,1.4514600373608029,0.1691542288557214,0.14665180236409098,0.8583443726604149,2652,200,exceso
aspect|Jupiter|Pluto|opposition,0.04411764705882353,0.04178355957767714,0.0016168438917909102,1.055861384351595,1.4436071985657324,0.23880597014925373,0.14884949887339954,0.8585811674146815,2652,200,exceso
aspect|Mercury|Venus|conjunction,0.12933634992458523,0.12291101055806941,0.004653463251614055,1.0522763529267394,1.380765038659581,0.21890547263681592,0.16735121637016104,0.8650101833158974,2652,200,exceso
aspect|Sun|Moon|square,0.08597285067873303,0.07887631975867271,0.0050104084919934755,1.0899703604551103,1.4163577543428698,0.1791044776119403,0.15667078616062333,0.8650101833158974,2652,200,exceso
aspect|Mercury|Saturn|opposition,0.0392156862745098,0.044068627450980315,0.003456003528297188,0.8898776418242507,-1.4042060827587204,0.21890547263681592,0.16025749106096782,0.8650101833158974,2652,200,déficit
aspect|Moon|Mercury|sextile,0.06108597285067873,0.06764328808446457,0.004735792816736593,0.9030603712581524,-1.3846288229949313,0.15920398009950248,0.16616599340367771,0.8650101833158974,2652,200,déficit
house|Uranus|2,0.07428355957767722,0.08175527903469083,0.00536763010204168,0.9086087217212827,-1.3919959674888176,0.19900497512437812,0.16392361907552022,0.8650101833158974,2652,200,déficit
